student_id,date,time,status,class_type,instructor_name,lesson,mission,activity,adcoin,absence_reason
ADV25008,2026-02-15,09:00,present,Physical,,,,build assault riffle,,
ADV24088,2026-02-15,09:00,present,Physical,,,,build and program pterosaur,,
ADV26007,2026-02-15,09:00,present,Physical,,,,build electric scoring target,,
ADV26007,2026-02-15,09:00,present,Physical,,,,build rubber band gun and program electric scoring target,,
ADV26001,2026-02-15,09:00,present,Physical,,,,build tank with shooting mechanism,,
ADV26001,2026-02-15,09:00,present,Physical,,,,build tank with shooting mechanism,,
ADV24009,2026-02-15,11:00,present,Physical,,,,,,
ADV25068,2026-02-15,11:00,present,Physical,,,,,,
ADV25064,2026-02-15,11:00,present,Physical,,,,build big pistol,,
ADV23022,2026-02-15,14:00,present,Physical,,,,,,
ADV26012,2026-02-15,11:00,present,Physical,,,,build and program wind plane,,
ADV26013,2026-02-15,11:00,present,Physical,,,,build and program triceratops,,
ADV25005,2026-02-15,16:00,present,Physical,,,,,,
ADV25004,2026-02-15,16:00,present,Physical,,,,build rubber band gun and electric scoring target,,
ADV26010,2026-02-23,18:00,present,Online,Aljay,,,Computer Science IGCSE,,
ADV26009,2026-02-23,18:00,present,Online,Aljay,,,Computer Science IGCSE,,
ADV23029,2026-02-24,20:30,present,Online,Aljay,,,,,
ADV25031,2026-02-24,18:00,present,Physical,,,,build and program flying chair,,
ADV26010,2026-02-25,13:00,present,Online,Aljay,,,Computer Science IGCSE,,
ADV26009,2026-02-25,13:00,present,Online,Aljay,,,Computer Science IGCSE,,
ADV23035,2026-02-26,17:30,present,Online,,,,,,
ADV25057,2026-02-26,18:30,present,Physical,,,,build jazz drum,,
ADV25067,2026-02-26,18:30,present,Physical,,,,build rubber band gun and dual gyro,,
ADV23019,2026-02-27,15:30,present,Physical,,,,,,
ADV23034,2026-02-27,17:00,present,Online,,,,,,
ADV25013,2026-02-27,18:30,present,Physical,,,,build and program red light green light,,
ADV25036,2026-02-27,18:30,present,Physical,,,,build and program dragon boat,,
ADV23045,2026-02-27,21:30,present,Online,,,,,,
ADV26002,2026-02-28,16:00,present,Physical,,,,build rubber band gun,,
ADV25043,2026-02-28,09:00,present,Physical,,,,build and program biped walking robot,,
ADV24024,2026-02-28,09:00,present,Physical,,,,build and program erecting bridge car,,
ADV25050,2026-02-28,09:00,present,Physical,,,,build and program lifting flying chair,,
ADV24057,2026-02-28,09:00,present,Physical,,,,,,
ADV23038,2026-02-28,09:30,present,Physical,,,,build and program chinook helicopter,,
ADV23075,2026-02-28,09:30,present,Physical,,,,,,
ADV0045,2026-02-28,14:00,present,Physical,,,,program red light green light,,
ADV24026,2026-02-28,10:00,present,Physical,,,,build and program card dealer,,
ADV25006,2026-02-28,10:30,present,Physical,,,,,,
ADV25005,2026-02-28,10:30,present,Physical,,,,,,
ADV25004,2026-02-28,10:30,present,Physical,,,,build ip man,,
ADV26011,2026-02-28,14:00,present,Physical,,,,trial,,
ADV25044,2026-02-28,14:00,present,Physical,,,,build pterosaur,,
ADV23013,2026-02-28,16:00,present,Physical,,,,build and program erecting bridge car,,
ADV26005,2026-02-28,11:00,present,Physical,,,,,,
ADV26004,2026-02-28,11:00,present,Physical,,,,build and program mini gun,,
ADV25049,2026-02-28,14:00,present,Physical,,,,,,
ADV25039,2026-02-28,14:00,present,Physical,,,,,,
ADV25061,2026-02-28,14:00,present,Physical,,,,build and program pokemon waste card,,
