student_id,date,time,status,class_type,instructor_name,lesson,mission,activity,adcoin,absence_reason
ADV24011,2025-11-09,11:00,present,Physical,,,,,,
ADV24011,2025-11-09,16:00,present,Physical,,,,,,
ADV24022,2025-11-09,11:00,present,Physical,,,,build and program battle rescue robot,,
ADV25008,2025-11-09,09:00,present,Physical,,,,build rubber band gun and electric scoring target,,
ADV24088,2025-11-09,09:00,present,Physical,,,,build scorpion,,
ADV25026,2025-11-09,09:00,present,Physical,,,,build rubber band gun and electric scoring target,,
ADV25027,2025-11-09,09:00,present,Physical,,,,build and program gyro launcher,,
ADV25038,2025-11-09,11:00,present,Physical,,,,scratch,,
ADV23042,2025-11-09,11:00,present,Physical,,,,build and program archery robot,,
ADV24009,2025-11-09,11:00,present,Physical,,,,,,
ADV25056,2025-11-09,14:00,present,Physical,,,,build stegosaurus,,
ADV24038,2025-11-09,14:00,present,Physical,,,,build and program gyro launcher,,
ADV25040,2025-11-09,16:00,present,Physical,,,,build ev3rstorm,,
ADV23022,2025-11-09,14:00,present,Physical,,,,,,
ADV23008,2025-11-09,14:30,present,Physical,,,,competition preparation,,
ADV24059,2025-11-09,16:00,present,Physical,,,,build mecahnical frog,,
ADV24087,2025-11-09,16:00,present,Physical,,,,,,
ADV23084,2025-11-09,16:00,present,Physical,,,,,,
ADV25005,2025-11-09,16:00,present,Physical,,,,,,
ADV25004,2025-11-09,16:00,present,Physical,,,,program ev3rstorm,,
ADV23029,2025-11-11,20:30,present,Online,,,,,,
ADV24033,2025-11-12,18:30,present,Physical,,,,,,
ADV25053,2025-11-13,17:00,present,Physical,,,,build rubber band gun,,
ADV25055,2025-11-13,18:30,present,Physical,,,,build rubber band gun,,
ADV24036,2025-11-14,17:00,present,Physical,,,,build and program rafflesia,,
ADV24081,2025-11-14,17:00,present,Physical,,,,build and program mechanical crossbow,,
ADV24061,2025-11-14,17:00,present,Physical,,,,competition,,
ADV25033,2025-11-14,17:00,present,Physical,,,,build and program transmitting gyro,,
ADV24064,2025-11-14,18:00,present,Physical,,,,build and program gear shooter,,
ADV25013,2025-11-14,18:30,present,Physical,,,,scratch,,
ADV23045,2025-11-14,21:30,present,Online,,,,,,
ADV25047,2025-11-15,09:00,present,Physical,,,,build card dealer,,
ADV25043,2025-11-15,09:00,present,Physical,,,,build and program gyro launcher,,
ADV24024,2025-11-15,09:00,present,Physical,,,,build and program flying chair,,
ADV25050,2025-11-15,09:00,present,Physical,,,,build and program rafflesia,,
ADV23004,2025-11-15,09:30,present,Physical,,,,competition,,
ADV23038,2025-11-15,09:30,present,Physical,,,,competition,,
ADV0045,2025-11-15,10:00,present,Physical,,,,build and program mini gun,,
ADV24026,2025-11-15,10:00,present,Physical,,,,competition,,
ADV24003,2025-11-15,10:30,present,Physical,,,,build and program ferris wheel,,
ADV24063,2025-11-15,10:30,present,Physical,,,,build and program scorpion,,
ADV25047,2025-11-15,11:00,present,Physical,,,,program card dealer,,
ADV25057,2025-11-15,11:00,present,Physical,,,,build and program helicopter,,
ADV25044,2025-11-15,11:00,present,Physical,,,,build rubber band gun,,
ADV23013,2025-11-15,11:00,present,Physical,,,,competition,,
ADV25059,2025-11-15,11:00,present,Physical,,,,build and program gear shooter,,
ADV25060,2025-11-15,11:00,present,Physical,,,,build and program trex,,
ADV25020,2025-11-15,14:00,present,Physical,,,,competition,,
ADV23084,2025-11-15,14:00,present,Physical,,,,competition,,
ADV24090,2025-11-15,11:00,present,Physical,,,,build and program card dealer,,
ADV25039,2025-11-15,14:00,present,Physical,,,,program robot arm,,
ADV25001,2025-11-15,14:00,present,Physical,,,,build and program jazz drum,,
ADV25061,2025-11-15,14:00,present,Physical,,,,build and program wind plane,,
ADV0011,2025-11-15,14:30,present,Physical,,,,competition,,
ADV0012,2025-11-15,14:30,present,Physical,,,,competition,,
ADV23048,2025-11-15,15:30,present,Physical,,,,build and program ip man,,
ADV0056,2025-11-15,15:30,present,Physical,,,,build and program wooden man,,
ADV25063,2025-11-15,16:00,present,Physical,,,,trial,,
ADV25065,2025-11-15,16:00,present,Physical,,,,trial,,
ADV24021,2025-11-15,16:00,present,Physical,,,,program color sorter,,
ADV25016,2025-11-15,16:00,present,Physical,,,,competition,,
ADV0055,2025-11-15,16:00,present,Physical,,,,build dinorex,,
ADV24031,2025-11-15,16:00,present,Physical,,,,build and program crab,,
ADV24066,2025-11-15,16:00,present,Physical,,,,competition,,
ADV25063,2025-11-16,16:00,present,Physical,,,,build and program hexapod walking robot,,
ADV25008,2025-11-16,09:00,present,Physical,,,,build and program electric scoring target,,
ADV24088,2025-11-16,09:00,present,Physical,,,,build and program scorpion,,
ADV25046,2025-11-16,11:00,present,Physical,,,,build and program fan,,
